"time_index","temperature_K"
"2007-08-07",301.3435
"2007-08-08",301.4493
"2007-08-09",301.0376
"2007-08-10",300.6172
"2007-08-11",300.5727
"2007-08-12",300.4797
"2007-08-13",300.1051
"2007-08-14",300.0862
"2007-08-15",300.543
"2007-08-16",300.6747
"2007-08-17",300.5586
"2007-08-18",300.3576
"2007-08-19",300.2409
"2007-08-20",300.2592
"2007-08-21",300.4821
"2007-08-22",300.4923
"2007-08-23",300.5159
"2007-08-24",300.5063
"2007-08-25",300.5797
"2007-08-26",300.5501
"2007-08-27",300.6465
"2007-08-28",300.6851
"2007-08-29",300.7922
"2007-08-30",300.9903
"2007-08-31",301.0949
"2007-09-01",300.8805
"2007-09-02",300.5601
"2007-09-03",300.6071
"2007-09-04",300.7101
"2007-09-05",300.9627
"2007-09-06",301.207
"2007-09-07",301.0922
"2007-09-08",300.9925
"2007-09-09",300.8187
"2007-09-10",300.7946
"2007-09-11",300.7592
"2007-09-12",300.2756
"2007-09-13",300.4111
"2007-09-14",300.8042
"2007-09-15",301.1792
"2007-09-16",301.8903
"2007-09-17",302.0114
"2007-09-18",301.464
"2007-09-19",300.3672
"2007-09-20",299.8934
"2007-09-21",300.2105
"2007-09-22",300.3138
"2007-09-23",300.5348
"2007-09-24",300.73
"2007-09-25",300.7882
"2007-09-26",300.6602
"2007-09-27",300.8326
"2007-09-28",301.1935
"2007-09-29",301.6773
"2007-09-30",301.9546
"2007-10-01",301.6978
"2007-10-02",300.5915
"2007-10-03",300.451
"2007-10-04",300.2843
"2007-10-05",300.7991
"2007-10-06",301.3138
"2007-10-07",302.2519
"2007-10-08",302.4196
"2007-10-09",302.4641
"2007-10-10",302.7864
"2007-10-11",303.0434
"2007-10-12",302.7702
"2007-10-13",302.562
"2007-10-14",302.6227
"2007-10-15",302.8121
"2007-10-16",302.8853
"2007-10-17",302.6895
"2007-10-18",302.3238
"2007-10-19",301.5027
"2007-10-20",301.3566
"2007-10-21",301.8155
"2007-10-22",301.6766
"2007-10-23",301.2042
"2007-10-24",302.2145
"2007-10-25",303.2224
"2007-10-26",303.5617
"2007-10-27",303.5195
"2007-10-28",303.0326
"2007-10-29",302.15
"2007-10-30",301.5651
"2007-10-31",302.3317
"2007-11-01",302.4645
"2007-11-02",302.4272
"2007-11-03",302.5479
"2007-11-04",302.6443
"2007-11-05",302.5004
"2007-11-06",302.2052
"2007-11-07",302.0671
"2007-11-08",301.9649
"2007-11-09",301.8292
"2007-11-10",301.6376
"2007-11-11",301.5676
"2007-11-12",301.6645
"2007-11-13",301.8452
"2007-11-14",301.6943
"2007-11-15",301.7174
"2007-11-16",301.6509
"2007-11-17",301.7213
"2007-11-18",301.8742
"2007-11-19",302.042
"2007-11-20",302.1134
"2007-11-21",301.8743
"2007-11-22",301.3386
"2007-11-23",300.9332
"2007-11-24",300.8748
"2007-11-25",300.7977
"2007-11-26",300.7171
"2007-11-27",300.672
"2007-11-28",300.4697
"2007-11-29",300.0473
"2007-11-30",299.7814
"2007-12-01",299.361
"2007-12-02",298.9561
"2007-12-03",299.0268
"2007-12-04",299.4059
"2007-12-05",299.895
"2007-12-06",299.8933
"2007-12-07",299.7608
"2007-12-08",299.6667
"2007-12-09",299.419
