time_index,temperature_K
2007-07-26,300.9005
2007-07-27,300.9089
2007-07-28,300.9826
2007-07-29,300.534
2007-07-30,300.5723
2007-07-31,300.8318
2007-08-01,300.582
2007-08-02,300.6731
2007-08-03,300.6956
2007-08-04,300.4502
2007-08-05,300.4048
2007-08-06,300.7049
2007-08-07,300.7152
2007-08-08,300.8939
2007-08-09,300.9119
2007-08-10,300.7289
2007-08-11,300.8394
2007-08-12,300.8873
2007-08-13,300.9811
2007-08-14,300.931
2007-08-15,300.9046
2007-08-16,300.7934
2007-08-17,300.9427
2007-08-18,300.9633
2007-08-19,300.9976
2007-08-20,301.1067
2007-08-21,300.112
2007-08-22,300.0645
2007-08-23,300.1714
2007-08-24,300.5945
2007-08-25,300.6764
2007-08-26,300.7418
2007-08-27,300.4287
2007-08-28,300.0187
2007-08-29,300.3458
2007-08-30,300.454
2007-08-31,300.452
2007-09-01,300.473
2007-09-02,300.3949
2007-09-03,300.3159
2007-09-04,300.441
2007-09-05,300.1219
2007-09-06,300.5036
2007-09-07,300.3327
2007-09-08,300.4903
2007-09-09,300.3358
2007-09-10,300.4902
2007-09-11,300.3764
2007-09-12,300.2337
2007-09-13,300.2697
2007-09-14,300.3047
2007-09-15,300.6579
2007-09-16,301.4325
2007-09-17,301.3113
2007-09-18,300.5678
2007-09-19,300.5602
2007-09-20,300.9174
2007-09-21,301.1153
2007-09-22,300.9935
2007-09-23,300.8669
2007-09-24,301.2946
2007-09-25,301.5919
2007-09-26,301.5305
2007-09-27,301.178
2007-09-28,300.9086
2007-09-29,301.0709
2007-09-30,301.5896
2007-10-01,302.8218
2007-10-02,303.3605
2007-10-03,303.289
2007-10-04,302.7629
2007-10-05,302.3208
2007-10-06,302.1544
2007-10-07,302.2179
2007-10-08,302.05
2007-10-09,302.6241
2007-10-10,302.7441
2007-10-11,302.8567
2007-10-12,302.2537
2007-10-13,302.0619
2007-10-14,302.3632
2007-10-15,302.7721
2007-10-16,302.9969
2007-10-17,303.3515
2007-10-18,303.6784
2007-10-19,304.0588
2007-10-20,303.9807
2007-10-21,304.3053
2007-10-22,303.9348
2007-10-23,303.7719
2007-10-24,304.2939
2007-10-25,303.9595
2007-10-26,303.5692
2007-10-27,303.3091
2007-10-28,303.1304
2007-10-29,303.0268
